1 Anhui
>>柘荣县 Zherong
>>周宁县 Zhouning

>泉州市 Quanzhou
>>安溪县 Anxi
>>德化县 Dehua
>>惠安县 Hui'an
>>晋江市 Jinjiang
>>南安市 Nan'an
>>三元区 Sanyuan
>>石狮市 Shishi
>>永春县 Yongchun

>福州市 Fuzhou
>>长乐市 Changle
>>福清市 Fuqing
>>Fuzhou Fuzhou
>>连江县 Lianjiang
>>罗源县 Luoyuan
>>闽侯县 Minhou
>>闽清县 Minqing
>>永泰县 Yongtai

>漳州市 Zhangzhou
>>长泰县 Changtai
>>东山县 Dongshan
>>华安县 Hua'an
>>龙海市 Longhai
>>南靖县 Nanjing
>>平和县 Pinghe
>>漳浦县 Zhangpu
>>Zhangzhou Zhangzhou
>>诏安县 Zhao'an

>三明市 Sanming
>>大田县 Datian
>>将乐县 Jiangle
>>建宁县 Jianning
>>明溪县 Mingxi
>>宁化县 Ninghua
>>清流县 Qingliu
>>Shanming Shanming
>>沙县 Sha
>>泰宁县 Taining
>>永安市 Yong'an
>>尤溪县 Youxi


5 Gansu
>白银市 Baiyin
>>白银区 Baiyin
>>会宁县 Huining
>>景泰县 Jingtai
>>靖远县 Jingyuan
>>平川区 Pingchuan

>天水市 Tianshui
>>甘谷县 Gangu
>>秦安县 Qin'an
>>庆城县 Qingcheng
>>Tianshui Tianshui
>>武山县 Wushan
>>张家川回族自治县 Zhangjiachuan Hui

>金昌市 Jinchang
>>金川区 Jinchuan
>>永昌县 Yongchang

>庆阳市 Qingyang
>>和政县 Hezheng
>>华池县 Huachi
>>环县 Huan
>>宁县 Ning
>>Qingyang Qingyang
>>西峰区 Xifeng
>>正宁县 Zhengning
>>镇原县 Zhenyuan

>陇南市 Longnan
>>成县 Cheng
>>宕昌县 Dangchang
>>徽县 Hui
>>康县 Kang
>>两当县 Liangdang
>>礼县 Li
>>文县 Wen
>>武都区 Wudu
>>西和县 Xihe

>嘉峪关市 Jiayuguan
>>Jiayuguan Jiayuguan

>定西市 Dingxi
>>Dingxi Dingxi
>>临洮县 Lintao
>>陇西县 Longxi
>>岷县 Min
>>通渭县 Tongwei
>>渭源县 Weiyuan
>>漳县 Zhang

>武威市 Wuwei
>>合水县 Heshui
>>民勤县 Minqin
>>天祝藏族自治县 Tianzhu Tibetan
>>Wuwei Wuwei

>甘南藏族自治州 Gannan Tibetan
>>卓尼县 Jonê
>>临潭县 Lintan
>>碌曲县 Luqu
>>玛曲县 Maqu
>>迭部县 Têwo
>>夏河县 Xiahe
>>舟曲县 Zhugqu

>张掖市 Zhangye
>>高台县 Gaotai
>>临泽县 Linze
>>民乐县 Minle
>>山丹县 Shandan
>>肃南裕固族自治县 Sunan Yugur
>>Zhangye Zhangye

>酒泉市 Jiuquan
>>阿克塞哈萨克族自治县 Aksai Kazakh
>>Anxi Anxi
>>敦煌市 Dunhuang
>>金塔县 Jinta
>>肃北蒙古族自治县 Subei Mongol
>>肃州区 Suzhou
>>Yumen Yumen

>平凉市 Pingliang
>>崇信县 Chongxin
>>华亭县 Huating
>>泾川县 Jingchuan
>>静宁县 Jingning
>>灵台县 Lingtai
>>Pingliang Pingliang
>>庄浪县 Zhuanglang

>临夏回族自治州 Linxia Hui
>>东乡族自治县 Dongxiang
>>广河县 Guanghe
>>和政县 Hezheng
>>积石山保安族东乡族撒拉族自治县 Jishishan Bonan, Dongxiang and Salar
>>康乐县 Kangle
>>临夏市 Linxia Shi
>>临夏市 Linxia
>>永靖县 Yongjing

>兰州市 Lanzhou
>>皋兰县 Gaolan
>>凉州区 Liangzhou
>>永登县 Yongdeng
>>榆中县 Yuzhong


6 Guangdong
>河源市 Heyuan
>>东源县 Dongyuan
>>和平县 Heping
>>连平县 Lianping
>>龙川县 Lungchuan
>>源城区 Yuancheng
>>紫金县 Zijin

>阳江市 Yangjiang
>>阳春市 Yangchun
>>阳东县 Yangdong
>>阳江市 Yangjiang
>>阳西县 Yangxi

>肇庆市 Zhaoqing
>>德庆县 Deqing
>>封开县 Fengkai
>>高要市 Gaoyao
>>广宁县 Guangning
>>怀集县 Huaiji
>>四会市 Sihui
>>Zhaoqing Zhaoqing

>汕尾市 Shanwei
>>海丰县 Haifeng
>>陆丰市 Lufeng
>>陆河县 Luhe
>>汕尾市 Shanwei

>潮州市 Chaozhou
>>潮南区 Chaonan
>>Chaozhou Chaozhou
>>饶平县 Raoping

>珠海市 Zhuhai
>>斗门区 Doumen
>>Zhuhai Zhuhai

>江门市 Jiangmen
>>恩平市 Enping
>>鹤山市 Heshan
>>Jiangmen Jiangmen
>>开平市 Kaiping
>>台山市 Taishan
>>新会区 Xinhui

>揭阳市 Jieyang
>>惠来县 Huilai
>>揭东县 Jiedong
>>揭西县 Jiexi
>>普宁市 Puning
>>榕城区 Rongcheng

>中山市 Zhongshan
>>中山市 Zhongshan

>梅州市 Meizhou
>>大埔县 Dapu
>>丰顺县 Fengshun
>>蕉岭县 Jiaoling
>>梅县 Mei
>>Meizhou Meizhou
>>平远县 Pingyuan
>>五华县 Wuhua
>>兴宁市 Xingning

>湛江市 Zhanjiang
>>雷州市 Leizhou
>>廉江市 Lianjiang
>>遂溪县 Suixi
>>吴川市 Wuchuan
>>徐闻县 Xuwen
>>浈江区 Zhenjiang

>茂名市 Maoming
>>电白县 Dianbai
>>高州市 Gaozhou
>>化州市 Huazhou
>>Maoming Maoming
>>信宜市 Xinyi

>深圳市 Shenzhen
>>宝安区 Bao'an
>>深圳 Shenzhen

>佛山市 Foshan
>>福田区 Futian
>>高明区 Gaoming
>>南海区 Nanhai
>>三水区 Sanshui
>>顺德区 Shunde

>惠州市 Huizhou
>>博罗县 Boluo
>>惠东县 Huidong
>>惠阳区 Huiyang
>>Huizhou Huizhou
>>龙门县 Longmen

>清远市 Qingyuan
>>佛冈县 Fogang
>>连南瑶族自治县 Liannan Yao
>>连山壮族|瑶族自治县 Lianshan Zhuang and Yao
>>连州市 Lianzhou
>>清城区 Qingcheng
>>清新县 Qingxin
>>阳山县 Yangshan
>>英德市 Yingde

>东莞市 Dongguan
>>东源县 Dongyuan

>广州市 Guangzhou
>>从化市 Conghua
>>Guangzhou Guangzhou
>>Huaxian Huaxian
>>南沙区 Nansha
>>番禺区 Panyu
>>增城市 Zengcheng

>云浮市 Yunfu
>>罗定市 Luoding
>>新兴县 Xinxing
>>云安县 Yun'an
>>郁南县 Yunan
>>云城区 Yuncheng

>汕头市 Shantou
>>潮阳区 Chaoyang
>>澄海区 Chenghai
>>Shantou Shantou

>韶关市 Shaoguan
>>乐昌市 Lechang
>>南雄市 Nanxiong
>>曲江区 Qujiang
>>仁化县 Renhua
>>乳源瑶族自治县 Ruyuan Yao
>>Shaoguan Shaoguan
>>始兴县 Shixing
>>翁源县 Wengyuan
>>新丰县 Xinfeng


7 Guangxi
>百色市 Baise
>>百色市 Baise
>>德保县 Debao
>>靖西县 Jingxi
>>乐业县 Leye
>>凌云县 Lingyun
>>隆林各族自治县 Longlin Various Nationalities
>>那坡县 Napo
>>平果县 Pingguo
>>田东县 Tiandong
>>田林县 Tianlin
>>田阳县 Tianyang
>>西林县 Xilin

>来宾市 Laibin
>>合山市 Heshan
>>金秀瑶族自治县 Jinxiu Yao
>>Laibin Laibin
>>武宣县 Wuxuan
>>象州县 Xiangzhou
>>忻城县 Xincheng

>南宁市 Nanning
>>宾阳县 Binyang
>>横县 Heng
>>隆安县 Long'an
>>马山县 Mashan
>>Nanning Nanning
>>上林县 Shanglin
>>武鸣县 Wuming
>>邕宁区 Yongning

>玉林市 Yulin
>>北流市 Beiliu
>>博白县 Bobai
>>陆川县 Luchuan
>>容县 Rong
>>鱼峰区 Yufeng

>梧州市 Wuzhou
>>苍梧县 Cangwu
>>岑溪市 Cenxi
>>蒙山县 Mengshan
>>藤县 Teng
>>梧州市 Wuzhou

>河池市 Hechi
>>巴马瑶族自治县 Bama Yao
>>大化瑶族自治县 Dahua Yao
>>东兰县 Donglan
>>都安瑶族自治县 Du’an Yao
>>凤山县 Fengshan
>>Hechi Hechi
>>环江毛南族自治县 Huanjiang Maonan
>>罗城仫佬族自治县 Luocheng Mulao
>>南丹县 Nandan
>>天峨县 Tian'e
>>雁山区 Yanshan

>桂林市 Guilin
>>恭城瑶族自治县 Gongcheng Yao
>>灌阳县 Guanyang
>>Guilin Guilin
>>灵川县 Lingchuan
>>临桂县 Lingui
>>荔浦县 Lipu
>>龙胜各族自治县 Longsheng Various Nationalities
>>平乐县 Pingle
>>全州县 Quanzhou
>>兴安县 Xing’an
>>阳朔县 Yangshuo
>>永福县 Yongfu
>>资源县 Ziyuan

>贵港市 Guigang
>>桂平市 Guiping
>>Gui Gui
>>平南县 Pingnan

>钦州市 Qinzhou
>>灵山县 Lingshan
>>浦北县 Pubei
>>Qinzhou Qinzhou

>北海市 Beihai
>>Beihai Beihai
>>合浦县 Hepu

>防城港市 Fangchenggang
>>防城区 Fangcheng
>>上思县 Shangsi

>崇左市 Chongzuo
>>长洲区 Changzhou
>>大新县 Daxin
>>扶绥县 Fusui
>>龙州县 Longzhou
>>宁明县 Ningming
>>凭祥市 Pingxiang
>>天等县 Tiandeng

>贺州市 Hezhou
>>富川瑶族自治县 Fuchuan Yao
>>He He
>>昭平县 Zhaoping
>>钟山县 Zhongshan

>柳州市 Liuzhou
>>柳城县 Liucheng
>>柳江县 Liujiang
>>Liuzhou Liuzhou
>>鹿寨县 Luzhai
>>融安县 Rong'an
>>融水苗族自治县 Rongshui Miao
>>三江侗族自治县 Sanjiang Dong


8 Guizhou
>黔东南苗族侗族自治州 Qiandongnan Miao and Dong
>>岑巩县 Cengong
>>从江县 Congjiang
>>丹寨县 Danzhai
>>黄平县 Huangping
>>剑河县 Jianhe
>>锦屏县 Jinping
>>凯里市 Kaili
>>雷山县 Leishan
>>黎平县 Liping
>>麻江县 Majiang
>>榕江县 Rongjiang
>>三穗县 Sansui
>>施秉县 Shibing
>>台江县 Taijiang
>>天柱县 Tianzhu
>>镇远县 Zhenyuan

>六盘水市 Liupanshui
>>六枝特区 Liuzhi
>>盘县 Pan
>>水城县 Shuicheng
>>钟山区 Zhongshan

>贵阳市 Guiyang
>>Guiyang Guiyang
>>开阳县 Kaiyang
>>清镇市 Qingzhen
>>息烽县 Xifeng
>>修文县 Xiuwen

>安顺市 Anshun
>>Anshun Anshun
>>关岭布依族|苗族自治县 Guanling Buyei and Miao
>>平坝县 Pingba
>>普定县 Puding
>>镇宁布依族|苗族自治县 Zhenning Buyei and Miao
>>紫云苗族|布依族自治县 Ziyun Miao and Buyei

>遵义市 Zunyi
>>赤水市 Chishui
>>道真仡佬族|苗族自治县 Daozhen Gelao and Miao
>>凤冈县 Fenggang
>>湄潭县 Meitan
>>仁怀市 Renhuai
>>绥阳县 Suiyang
>>桐梓县 Tongzi
>>务川仡佬族|苗族自治县 Wuchuan Gelao and Miao
>>习水县 Xishui
>>余庆县 Yuqing
>>正安县 Zheng'an
>>遵义市 Zunyi Shì
>>遵义县 Zunyi Xiàn

>铜仁地区 Tongren
>>德江县 Dejiang
>>江口县 Jiangkou
>>石阡县 Shiqian
>>思南县 Sinan
>>松桃苗族自治县 Songtao Miao
>>铜仁市 Tongren
>>万山特区 Wanshan Special
>>沿河土家族自治县 Yanhe Tujia
>>印江土家族|苗族自治县 Yinjiang Tujia and Miao
>>玉屏侗族自治县 Yuping Dong

>黔南布依族苗族自治州 Qiannan Buyei and Miao
>>长顺县 Changshun
>>独山县 Dushan
>>都匀市 Duyun
>>福泉市 Fuquan
>>贵定县 Guiding
>>花溪区 Huaxi
>>荔波县 Libo
>>龙里县 Longli
>>罗甸县 Luodian
>>平塘县 Pingtang
>>三都水族自治县 Sandu Shui
>>瓮安县 Weng'an

>毕节地区 Bijie
>>毕节市 Bijie
>>大方县 Dafang
>>赫章县 Hezhang
>>金沙县 Jinsha
>>纳雍县 Nayong
>>黔西县 Qianxi
>>威宁彝族回族苗族自治县 Weining Yi, Hui and Miao
>>织金县 Zhijin

>黔西南布依族苗族自治州 Qianxinan Buyei and Miao
>>安龙县 Anlong
>>册亨县 Ceheng
>>普安县 Pu'an
>>晴隆县 Qinglong
>>望谟县 Wangmo
>>兴仁县 Xingren
>>兴义市 Xingyi
>>贞丰县 Zhenfeng


9 Hainan
>三亚市 Sanya
>>三亚市 Sanya

>海南 Hainan
>>白沙黎族自治县 Baisha Li
>>保亭黎族苗族自治县 Baoting Li
>>昌江黎族自治县 Changjiang Li
>>澄迈县 Chengmai
>>儋州市 Danzhou
>>定安县 Ding An
>>东方市 Dongfang
>>乐东黎族自治县 Ledong Li
>>Lingao Lingao
>>陵水黎族自治县 Lingshui Li
>>Qionghai Qionghai
>>琼中黎族苗族自治县 Qiongzhong Li and Miao
>>Tunchang Tunchang
>>万宁市 Wanning
>>文昌市 Wenchang

>海口市 Haikou
>>海口市 Haikou
>>琼山区 Qiongshan


10 Hebei
>衡水市 Hengshui
>>安平县 Anping
>>阜城县 Fucheng
>>故城县 Gucheng
>>Hengshui Hengshui
>>景县 Jing
>>Ji Ji
>>饶阳县 Raoyang
>>Shen Shen
>>武强县 Wuqiang
>>武邑县 Wuyi
>>枣强县 Zaoqiang

>邯郸市 Handan
>>成安县 Cheng'an
>>磁县 Ci
>>大名县 Daming
>>肥乡县 Feixiang
>>峰峰矿区 Fengfengkuang
>>广平县 Guangping
>>馆陶县 Guantao
>>邯郸市 Handan shì
>>邯郸县 Handan Xiàn
>>鸡泽县 Jize
>>临漳县 Linzhang
>>邱县 Qiu
>>曲周县 Quzhou
>>涉县 She
>>魏县 Wei
>>武安市 Wu'an
>>永年县 Yongnian

>秦皇岛市 Qinhuangdao
>>昌黎县 Changli
>>抚宁县 Funing
>>卢龙县 Lulong
>>Qinglong Qinglong
>>Qinhuangdao Qinhuangdao

>保定市 Baoding
>>安国市 Anguo
>>安新县 Anxin
>>Baoding Baoding
>>博野县 Boye
>>Ding Ding
>>定兴县 Dingxing
>>阜平县 Fuping
>>高阳县 Gaoyang
>>涞水县 Laishui
>>涞源县 Laiyuan
>>蠡县 Li
>>满城县 Mancheng
>>Qing Yuan Qing Yuan
>>曲阳县 Quyang
>>容城县 Rongcheng
>>唐县 Tang
>>望都县 Wangdu
>>Wan Wan
>>Xincheng Xincheng
>>雄县 Xiong
>>徐水县 Xushui
>>易县 Yi
>>Zhuo Zhuo

>沧州市 Cangzhou
>>沧县 Cang
>>Cangzhou Cangzhou
>>东光县 Dongguang
>>海兴县 Haixing
>>河间市 Hejian
>>黄骅市 Huanghua
>>Jiaohe Jiaohe
>>孟村回族自治县 Mengcun Hui
>>南皮县 Nanpi
>>Qing Qing
>>任丘市 Renqiu
>>肃宁县 Suning
>>吴桥县 Wuqiao
>>献县 Xian
>>盐山县 Yanshan

>邢台市 Xingtai
>>柏乡县 Baixiang
>>广宗县 Guangzong
>>巨鹿县 Julu
>>临城县 Lincheng
>>临西县 Linxi
>>隆尧县 Longyao
>>南宫市 Nangong
>>南和县 Nanhe
>>内丘县 Neiqiu
>>宁晋县 Ningjin
>>平乡县 Pingxiang
>>Qinghe Qinghe
>>任县 Ren
>>沙河市 Shahe
>>魏县 Wei
>>邢台县 Xingtai shì
>>邢台县 Xingtai Xiàn
>>新河县 Xinhe

>石家庄市 Shijiazhuang
>>藳城市 Gaocheng
>>高邑县 Gaoyi
>>Huelu Huelu
>>井陉县 Jingjing
>>Ji Ji
>>灵寿县 Lingshou
>>栾城县 Luancheng
>>平山县 Pingshan
>>深泽县 Shenze
>>Shijiazhuang Shijiazhuang
>>Shulu Shulu
>>无极县 Wuji
>>行唐县 Xingtang
>>新乐市 Xinle
>>元氏县 Yuanshi
>>赞皇县 Zanhuang
>>赵县 Zhao
>>正定县 Zhengding

>张家口市 Zhangjiakou
>>赤城县 Chicheng
>>崇礼县 Chongli
>>沽源县 Guyuan
>>怀安县 Huai'an
>>怀来县 Huailai
>>康保县 Kangbao
>>尚义县 Shangyi
>>万全县 Wanquan
>>宣化县 Xuanhua
>>阳原县 Yangyuan
>>蔚县 Yu
>>张北县 Zhangbei
>>Zhangjiakou Zhangjiakou
>>涿鹿县 Zhuolu

>唐山市 Tangshan
>>丰南区 Fengnan
>>丰润区 Fengrun
>>乐亭县 Leting
>>滦南县 Luannan
>>滦县 Luan
>>迁安市 Qian'an
>>迁西县 Qianxi
>>唐海县 Tanghai
>>唐山市 Tangshan
>>玉田县 Yutian
>>遵化市 Zunhua

>承德市 Chengde
>>承德市 Chengde Shì
>>承德县 Chengde Xiàn
>>丰宁满族自治县 Fengning Manchu
>>宽城满族自治县 Kuancheng Manchu
>>隆化县 Longhua
>>滦平县 Luanping
>>平泉县 Pingquan
>>围场满族|蒙古族自治县 Weichang Manchu and Mongol
>>兴隆县 Xinglong
>>鹰手营子矿区 Yingshouyingzikuang

>廊坊市 Langfang
>>Ba Ba
>>大厂回族自治县 Dachang Hui
>>大城县 Daicheng
>>固安县 Gu'an
>>Longfang Longfang
>>三河市 Sanhe
>>文安县 Wen'an
>>香河县 Xianghe
>>永清县 Yongqing


11 Heilongjiang
>黑河市 Heihe
>>北安市 Bei'an
>>Dedu Dedu
>>Heihe Heihe
>>嫩江县 Nenjiang
>>孙吴县 Sunwu
>>五大连池市 Wudalianchi
>>逊克县 Xunke

>大庆市 Daqing
>>Daqina Daqina
>>杜尔伯特|蒙古族自治县 Dorbod Mongol
>>林甸县 Lindian
>>肇源县 Zhaoyuan
>>肇州县 Zhaozhou

>哈尔滨市 Harbin
>>阿城区 Acheng
>>巴彦县 Bayan
>>宾县 Bin
>>方正县 Fangzheng
>>Harbin Harbin
>>呼兰区 Hulan
>>木兰县 Mulan
>>尚志市 Shangzhi
>>双城市 Shuangcheng
>>通河县 Tonghe
>>五常市 Wuchang
>>延寿县 Yanshou
>>依兰县 Yilan

>鸡西市 Jixi
>>虎林市 Hulin
>>鸡东县 Jidong
>>Jixi Jixi
>>密山市 Mishan

>绥化市 Suihua
>>安达市 Anda
>>海伦市 Hailun
>>兰西县 Lanxi
>>明水县 Mingshui
>>庆安县 Qing'an
>>青冈县 Qinggang
>>Suihua Suihua
>>绥棱县 Suileng
>>望奎县 Wangkui
>>肇东市 Zhaodong

>鹤岗市 Hegang
>>鹤岗市 Hegang shì
>>鹤岗区 Hegang
>>萝北县 Luobei
>>绥滨县 Suibin

>大兴安岭地区 Daxing'anling
>>呼玛县 Huma
>>呼玛县 Huzhong
>>漠河县 Mohe
>>塔河县 Tahe
>>新林区 Xinlin

>佳木斯市 Jiamusi
>>富锦市 Fujin
>>抚远县 Fuyuan
>>桦川县 Huachuan
>>桦南县 Huanan
>>Jiamusi Jiamusi
>>汤原县 Tangyuan
>>同江市 Tongjiang

>双鸭山市 Shuangyashan
>>宝清县 Baoqing
>>集贤县 Jixian
>>饶河县 Raohe
>>Shuangyashan Shuangyashan
>>友谊县 Youyi

>七台河市 Qitaihe
>>勃利县 Boli
>>Qitaihe Qitaihe

>伊春市 Yichun
>>翠峦区 Cuiluan
>>Jiayin Jiayin
>>铁力市 Tieli
>>乌伊岭区 Wuyiling
>>伊春区 Yichun

>牡丹江市 Mudanjiang
>>东宁县 Dongning
>>海林市 Hailin
>>Linkou Linkou
>>Mudanjiang Mudanjiang
>>穆棱市 Muling
>>宁安市 Ning'an
>>绥芬河市 Suifenhe

>齐齐哈尔市 Qiqihar
>>拜泉县 Baiquan
>>富裕县 Fuyu
>>甘南县 Gannan
>>克东县 Kedong
>>克山县 Keshan
>>Longjiang Longjiang
>>讷河市 Nehe
>>碾子山区 Nianzishan
>>Qiqihar Qiqihar
>>泰来县 Tailai
>>依安县 Yi'an


12 Henan
>南阳市 Nanyang
>>Deng Deng
>>方城县 Fangcheng
>>南阳市 Nanyang Shì
>>南阳县 Nanyang Xiàn
>>南召县 Nanzhao
>>内乡县 Neixiang
>>社旗县 Sheqi
>>唐河县 Tanghe
>>桐柏县 Tongbai
>>淅川县 Xichuan
>>新野县 Xinye
>>西峡县 Xixia
>>镇平县 Zhenping

>新乡市 Xinxiang
>>长垣县 Changyuan
>>封丘县 Fengqiu
>>Houjia Houjia
>>辉县市 Huixian
>>Ji Ji
>>Xinxiang Shì Xinxiang Shì
>>Xinxiang Xiàn Xinxiang Xiàn
>>延津县 Yanjin
>>原阳县 Yuanyang

>漯河市 Luohe
>>临颍县 Linying
>>Luohe Luohe
>>舞阳县 Wuyang
>>郾城区 Yancheng

>安阳市 Anyang
>>Anyang Shì Anyang Shì
>>Anyang Xiàn Anyang Xiàn
>>滑县 Hua
>>Lin Lin
>>内黄县 Neihuang
>>汤阴县 Tangyin

>信阳市 Xinyang
>>光山县 Guangshan
>>固始县 Gushi
>>淮滨县 Huaibin
>>潢川县 Huangchuan
>>罗山县 Luoshan
>>山城区 Shancheng
>>Xinxian Xinxian
>>信阳市 Xinyang Shì
>>信阳县 Xinyang Xiàn
>>息县 Xi

>开封市 Kaifeng
>>开封县 Kaifeng Xiàn
>>开封县 Kaifeng
>>兰考县 Lankao
>>淇县 Qi
>>通许县 Tongxu
>>尉氏县 Weishi

>周口市 Zhoukou
>>郸城县 Dancheng
>>扶沟县 Fugou
>>淮阳县 Huaiyang
>>鹿邑县 Luyi
>>商水县 Shangshui
>>沈丘县 Shenqiu
>>太康县 Taikang
>>项城市 Xiangcheng
>>西华县 Xihua
>>Zhoukou Zhoukou

>鹤壁市 Hebi
>>Hebi Hebi
>>淇县 Qi
>>Xun Xun

>焦作市 Jiaozuo
>>博爱县 Bo'ai
>>Jiaozuo Jiaozuo
>>Meng Meng
>>沁阳市 Qinyang
>>温县 Wen
>>武陟县 Wuzhi
>>修武县 Xiuwu

>许昌市 Xuchang
>>长葛市 Changge
>>项城市 Xiangcheng
>>许昌市 Xuchang Shì
>>许昌县 Xuchang Xiàn
>>鄢陵县 Yanling
>>Yu Yu

>三门峡市 Sanmenxia
>>Lingbao Lingbao
>>卢氏县 Lushi
>>渑池县 Mianchi
>>Sanmenxia Sanmenxia
>>陕县 Shan
>>义马市 Yima

>濮阳市 Puyang
>>Fanxian Fanxian
>>南乐县 Nanle
>>濮阳市 Puyang Shì
>>濮阳县 Puyang Xiàn
>>清丰县 Qingfeng
>>台前县 Taiqian

>平顶山市 Pingdingshan
>>宝丰县 Baofeng
>>郏县 Jia
>>Linru Linru
>>鲁山县 Lushan
>>Pingdingshan Pingdingshan
>>舞钢市 Wugang
>>叶县 Ye

>驻马店市 Zhumadian
>>Biyang Biyang
>>平舆县 Pingyu
>>确山县 Queshan
>>汝南县 Runan
>>上蔡县 Shangcai
>>遂平县 Suiping
>>新蔡县 Xincai
>>西平县 Xiping
>>正阳县 Zhengyang
>>Zhumadian Zhumadian

>济源市 Jiyuan shi
>>Jiyuan Jiyuan

>商丘市 Shangqiu
>>民权县 Minquan
>>宁陵县 Ningling
>>睢阳市 Shangqiu Shì
>>睢县 Sui
>>睢阳区 Suiyang
>>夏邑县 Xiayi
>>永城市 Yongcheng
>>虞城县 Yucheng
>>Zhecheng Zhecheng

>洛阳市 Luoyang
>>栾川县 Luanchuan
>>洛宁县 Luoning
>>Luoyang Luoyang
>>孟津县 Mengjin
>>汝阳县 Ruyang
>>嵩县 Song
>>新安县 Xin'an
